old_slug,canonical_slug,old_countries,old_types,sample_name_en
housing-officers,housing-officer,1,SOC,Housing officers
human-resources-manager,human-resource-manager,1,ANZSCO,Human Resources Manager
human-resources-managers,human-resource-manager,2,NOC|SOC,Human resources managers
industrial-and-production-engineers,industrial-and-production-engineer,1,CNO,Industrial and Production Engineers
industrial-designers,industrial-designer,1,NOC,Industrial designers
industrial-electricians,industrial-electrician,1,NOC,Industrial electricians
industrial-engineers,industrial-engineer,1,SOC,Industrial Engineers
industrial-machinery-mechanics,industrial-machinery-mechanic,1,SOC,Industrial Machinery Mechanics
information-and-communications-technology-installers-and-servicers,information-and-communications-technology-installer-and-servicer,1,NCO2015,Information and Communications Technology Installers and Servicers
information-and-communications-technology-operations-technician,information-and-communications-technology-operation-technician,1,NCO2015,Information and Communications Technology Operations Technician
information-and-communications-technology-sales-professionals,information-and-communications-technology-sales-professional,1,NCO2015,Information And Communications Technology Sales Professionals
information-and-communications-technology-services-managers,information-and-communications-technology-service-manager,1,NCO2015,Information and Communications Technology Services Managers
information-technology-trainers,information-technology-trainer,1,SOC,Information technology trainers
inland-and-coastal-waters-fishery-worker,inland-and-coastal-water-fishery-worker,1,NCO2015,Inland and Coastal Waters Fishery Worker
insulation-workers,insulation-worker,1,NOC,Insulation Workers
insurance-brokers,insurance-broker,1,NOC,Insurance Brokers
insurance-representatives,insurance-representative,1,NCO2015,Insurance Representatives
insurance-underwriters,insurance-underwriter,3,NOC|SOC,Insurance underwriters
interior-designers,interior-designer,3,NOC|SOC,Interior Designers
interior-designers-and-decorators,interior-designer-and-decorator,1,CNO,Interior Designers and Decorators
interpreters-and-translators,interpreter-and-translator,1,SOC,Interpreters and Translators
it-managers,it-manager,1,SOC,IT managers
it-project-managers,it-project-manager,1,SOC,IT project managers
it-user-support-technicians,it-user-support-technician,1,SOC,IT user support technicians
journalists,journalist,1,NOC,Journalists
landscape-architects,landscape-architect,1,SOC,Landscape Architects
lawyers,lawyer,3,CNO|KldB|SOC,Lawyers
legal-professionals-not-elsewhere-classified,legal-professional-not-elsewhere-classified,1,CNO,Legal Professionals Not Elsewhere Classified
legal-secretaries,legal-secretary,1,SOC,Legal secretaries
legislators,legislator,3,NCO2015|NOC|SOC,Legislators
librarians,librarian,2,NOC|SOC,Librarians
librarians-and-related-information-professionals,librarian-and-related-information-professional,1,NCO2015,Librarians and Related Information Professionals
